Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region,Age_Category
AA-10315,Alex Avila,Consumer,66,United States,Minneapolis,Minnesota,55407,Central,Senior Age
AA-10375,Allen Armold,Consumer,22,United States,Mesa,Arizona,85204,West,Young
AA-10480,Andrew Allen,Consumer,50,United States,Concord,North Carolina,28027,South,Midle Age
AA-10645,Anna Andreadi,Consumer,32,United States,Chester,Pennsylvania,19013,East,Midle Age
AB-10015,Aaron Bergman,Consumer,66,United States,Seattle,Washington,98103,West,Senior Age
AB-10060,Adam Bellavance,Home Office,25,United States,New York City,New York,10009,East,Young
AB-10105,Adrian Barton,Consumer,63,United States,Phoenix,Arizona,85023,West,Senior Age
AB-10150,Aimee Bixby,Consumer,65,United States,Long Beach,New York,11561,East,Senior Age
AB-10165,Alan Barnes,Consumer,22,United States,Los Angeles,California,90036,West,Young
AB-10255,Alejandro Ballentine,Home Office,34,United States,Lorain,Ohio,44052,East,Midle Age
AB-10600,Ann Blume,Corporate,34,United States,Tucson,Arizona,85705,West,Midle Age
AC-10420,Alyssa Crouse,Corporate,69,United States,San Francisco,California,94122,West,Senior Age
AC-10450,Amy Cox,Consumer,46,United States,Minneapolis,Minnesota,55407,Central,Midle Age
AC-10615,Ann Chong,Corporate,61,United States,New York City,New York,10009,East,Senior Age
AC-10660,Anna Chung,Consumer,30,United States,Huntsville,Texas,77340,Central,Young
AD-10180,Alan Dominguez,Home Office,52,United States,Houston,Texas,77041,Central,Midle Age
AF-10870,Art Ferguson,Consumer,63,United States,College Station,Texas,77840,Central,Senior Age
AF-10885,Art Foster,Consumer,40,United States,Louisville,Kentucky,40214,South,Midle Age
AG-10270,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West,Young
AG-10300,Aleksandra Gannaway,Corporate,68,United States,Los Angeles,California,90049,West,Senior Age
AG-10330,Alex Grayson,Consumer,51,United States,Stockton,California,95207,West,Midle Age
AG-10390,Allen Goldenen,Consumer,47,United States,Cincinnati,Ohio,45231,East,Midle Age
AG-10495,Andrew Gjertsen,Corporate,24,United States,Philadelphia,Pennsylvania,19140,East,Young
AG-10525,Andy Gerbode,Corporate,69,United States,Saint Petersburg,Florida,33710,South,Senior Age
AG-10675,Anna Gayman,Consumer,69,United States,Houston,Texas,77036,Central,Senior Age
AG-10765,Anthony Garverick,Home Office,40,United States,Philadelphia,Pennsylvania,19120,East,Midle Age
AG-10900,Arthur Gainer,Consumer,56,United States,Tucson,Arizona,85705,West,Midle Age
AH-10030,Aaron Hawkins,Corporate,60,United States,Philadelphia,Pennsylvania,19134,East,Midle Age
AH-10075,Adam Hart,Corporate,21,United States,New York City,New York,10011,East,Young
AH-10120,Adrian Hane,Home Office,27,United States,Tucson,Arizona,85705,West,Young
AH-10195,Alan Haines,Corporate,67,United States,Tamarac,Florida,33319,South,Senior Age
AH-10210,Alan Hwang,Consumer,58,United States,Brentwood,California,94513,West,Midle Age
AH-10465,Amy Hunt,Consumer,24,United States,New York City,New York,10035,East,Young
AH-10585,Angele Hood,Consumer,34,United States,Chicago,Illinois,60623,Central,Midle Age
AH-10690,Anna Haberlin,Corporate,39,United States,New York City,New York,10024,East,Midle Age
AI-10855,Arianne Irving,Consumer,35,United States,Philadelphia,Pennsylvania,19120,East,Midle Age
AJ-10780,Anthony Jacobs,Corporate,47,United States,Springfield,Virginia,22153,South,Midle Age
AJ-10795,Anthony Johnson,Corporate,27,United States,Saint Petersburg,Florida,33710,South,Young
AJ-10945,Ashley Jarboe,Consumer,62,United States,Wilmington,North Carolina,28403,South,Senior Age
AJ-10960,Astrea Jones,Consumer,30,United States,Rochester,New York,14609,East,Young
AM-10360,Alice McCarthy,Corporate,45,United States,Grand Prairie,Texas,75051,Central,Midle Age
AM-10705,Anne McFarland,Consumer,28,United States,Auburn,Alabama,36830,South,Young
AO-10810,"Anthony O'Donnell",Corporate,66,United States,Los Angeles,California,90045,West,Senior Age
AP-10720,Anne Pryor,Home Office,18,United States,New York City,New York,10035,East,Young
AP-10915,Arthur Prichep,Consumer,61,United States,Palm Coast,Florida,32137,South,Senior Age
AR-10345,Alex Russell,Corporate,38,United States,Lawrence,Massachusetts,1841,East,Midle Age
AR-10405,Allen Rosenblatt,Corporate,66,United States,Franklin,Massachusetts,2038,East,Senior Age
AR-10510,Andrew Roberts,Consumer,58,United States,Philadelphia,Pennsylvania,19134,East,Midle Age
AR-10540,Andy Reiter,Consumer,48,United States,New York City,New York,10024,East,Midle Age
AR-10570,Anemone Ratner,Consumer,36,United States,Columbus,Georgia,31907,South,Midle Age
AR-10825,Anthony Rawles,Corporate,39,United States,Vancouver,Washington,98661,West,Midle Age
AS-10045,Aaron Smayling,Corporate,42,United States,Jacksonville,North Carolina,28540,South,Midle Age
AS-10090,Adam Shillingsburg,Consumer,46,United States,Charlottesville,Virginia,22901,South,Midle Age
AS-10135,Adrian Shami,Home Office,65,United States,New York City,New York,10035,East,Senior Age
AS-10225,Alan Schoenberger,Corporate,31,United States,New York City,New York,10024,East,Midle Age
AS-10240,Alan Shonely,Consumer,68,United States,Tampa,Florida,33614,South,Senior Age
AS-10285,Alejandro Savely,Corporate,53,United States,San Francisco,California,94109,West,Midle Age
AS-10630,Ann Steele,Home Office,54,United States,Pasadena,Texas,77506,Central,Midle Age
AT-10435,Alyssa Tate,Home Office,19,United States,Los Angeles,California,90004,West,Young
AT-10735,Annie Thurman,Consumer,30,United States,Seattle,Washington,98115,West,Young
AW-10840,Anthony Witt,Consumer,37,United States,Allen,Texas,75002,Central,Midle Age
AW-10930,Arthur Wiediger,Home Office,58,United States,Aurora,Illinois,60505,Central,Midle Age
AY-10555,Andy Yotov,Corporate,61,United States,Oceanside,California,92054,West,Senior Age
AZ-10750,Annie Zypern,Consumer,59,United States,New York City,New York,10009,East,Midle Age
BB-10990,Barry Blumstein,Corporate,41,United States,Inglewood,California,90301,West,Midle Age
BB-11545,Brenda Bowman,Corporate,60,United States,Houston,Texas,77070,Central,Midle Age
BC-11125,Becky Castell,Home Office,35,United States,Peoria,Arizona,85345,West,Midle Age
BD-11320,Bill Donatelli,Consumer,68,United States,San Francisco,California,94110,West,Senior Age
BD-11500,Bradley Drucker,Consumer,47,United States,Green Bay,Wisconsin,54302,Central,Midle Age
BD-11560,Brendan Dodson,Home Office,54,United States,Fresno,California,93727,West,Midle Age
BD-11605,Brian Dahlen,Consumer,40,United States,Lawrence,Massachusetts,1841,East,Midle Age
BD-11620,Brian DeCherney,Consumer,46,United States,San Francisco,California,94122,West,Midle Age
BD-11635,Brian Derr,Consumer,42,United States,Bowling Green,Kentucky,42104,South,Midle Age
BD-11725,Bruce Degenhardt,Consumer,36,United States,Richmond,Kentucky,40475,South,Midle Age
BD-11770,Bryan Davis,Consumer,50,United States,Houston,Texas,77070,Central,Midle Age
BE-11335,Bill Eplett,Home Office,20,United States,Jackson,Michigan,49201,Central,Young
BE-11410,Bobby Elias,Consumer,54,United States,Lancaster,Ohio,43130,East,Midle Age
BE-11455,Brad Eason,Home Office,20,United States,Olathe,Kansas,66062,Central,Young
BF-10975,Barbara Fisher,Corporate,47,United States,Charlotte,North Carolina,28205,South,Midle Age
BF-11005,Barry Franz,Home Office,56,United States,Pasadena,California,91104,West,Midle Age
BF-11020,Barry Franzosisch,Corporate,67,United States,Green Bay,Wisconsin,54302,Central,Senior Age
BF-11080,Bart Folk,Consumer,23,United States,Baltimore,Maryland,21215,East,Young
BF-11170,Ben Ferrer,Home Office,19,United States,Los Angeles,California,90036,West,Young
BF-11215,Benjamin Farhat,Home Office,69,United States,Albuquerque,New Mexico,87105,West,Senior Age
BF-11275,Beth Fritzler,Corporate,21,United States,Tucson,Arizona,85705,West,Young
BG-11035,Barry Gonzalez,Consumer,57,United States,Monroe,Louisiana,71203,South,Midle Age
BG-11695,Brooke Gillingham,Corporate,46,United States,Cincinnati,Ohio,45231,East,Midle Age
BG-11740,Bruce Geld,Consumer,39,United States,Philadelphia,Pennsylvania,19120,East,Midle Age
BH-11710,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West,Young
BK-11260,Berenike Kampe,Consumer,37,United States,New York City,New York,10035,East,Midle Age
BM-11140,Becky Martin,Consumer,67,United States,San Antonio,Texas,78207,Central,Senior Age
BM-11575,Brendan Murry,Corporate,22,United States,New York City,New York,10035,East,Young
BM-11650,Brian Moss,Corporate,48,United States,New York City,New York,10035,East,Midle Age
BM-11785,Bryan Mills,Consumer,31,United States,Columbus,Ohio,43229,East,Midle Age
BN-11470,Brad Norvell,Corporate,20,United States,Cary,North Carolina,27511,South,Young
BN-11515,Bradley Nguyen,Consumer,63,United States,Los Angeles,California,90049,West,Senior Age
BO-11350,Bill Overfelt,Corporate,46,United States,Los Angeles,California,90045,West,Midle Age
BO-11425,Bobby Odegard,Consumer,63,United States,Richmond,Kentucky,40475,South,Senior Age
BP-11050,Barry Pond,Corporate,65,United States,Cranston,Rhode Island,2920,East,Senior Age
BP-11095,Bart Pistole,Corporate,30,United States,Peoria,Illinois,61604,Central,Young
BP-11155,Becky Pak,Consumer,46,United States,Columbus,Georgia,31907,South,Midle Age
BP-11185,Ben Peterman,Corporate,48,United States,Arvada,Colorado,80004,West,Midle Age
BP-11230,Benjamin Patterson,Consumer,19,United States,Spokane,Washington,99207,West,Young
BP-11290,Beth Paige,Consumer,26,United States,Evanston,Illinois,60201,Central,Young
BS-11365,Bill Shonely,Corporate,34,United States,New York City,New York,10011,East,Midle Age
BS-11380,Bill Stewart,Corporate,53,United States,Skokie,Illinois,60076,Central,Midle Age
BS-11590,Brendan Sweed,Corporate,45,United States,Gilbert,Arizona,85234,West,Midle Age
BS-11665,Brian Stugart,Consumer,21,United States,Philadelphia,Pennsylvania,19143,East,Young
BS-11755,Bruce Stewart,Consumer,59,United States,Denver,Colorado,80219,West,Midle Age
BS-11800,Bryan Spruell,Home Office,53,United States,New York City,New York,10011,East,Midle Age
BT-11305,Beth Thompson,Home Office,38,United States,Costa Mesa,California,92627,West,Midle Age
BT-11395,Bill Tyler,Corporate,32,United States,Detroit,Michigan,48227,Central,Midle Age
BT-11440,Bobby Trafton,Consumer,20,United States,Littleton,Colorado,80122,West,Young
BT-11485,Brad Thomas,Home Office,66,United States,Clinton,Maryland,20735,East,Senior Age
BT-11530,Bradley Talbott,Home Office,34,United States,Los Angeles,California,90036,West,Midle Age
BT-11680,Brian Thompson,Consumer,70,United States,Newark,Ohio,43055,East,Senior Age
BV-11245,Benjamin Venier,Corporate,46,United States,Des Moines,Iowa,50315,Central,Midle Age
BW-11065,Barry Weirich,Consumer,30,United States,Raleigh,North Carolina,27604,South,Young
BW-11110,Bart Watters,Corporate,50,United States,Milwaukee,Wisconsin,53209,Central,Midle Age
BW-11200,Ben Wallace,Consumer,31,United States,Boynton Beach,Florida,33437,South,Midle Age
CA-11965,Carol Adams,Corporate,19,United States,Hoover,Alabama,35244,South,Young
CA-12055,Cathy Armstrong,Home Office,67,United States,Houston,Texas,77070,Central,Senior Age
CA-12265,Christina Anderson,Consumer,49,United States,Chicago,Illinois,60610,Central,Midle Age
CA-12310,Christine Abelman,Corporate,68,United States,Cincinnati,Ohio,45231,East,Senior Age
CA-12775,Cynthia Arntzen,Consumer,57,United States,Tampa,Florida,33614,South,Midle Age
CB-12025,Cassandra Brandow,Consumer,43,United States,Hamilton,Ohio,45011,East,Midle Age
CB-12415,Christy Brittain,Consumer,47,United States,Columbus,Ohio,43229,East,Midle Age
CB-12535,Claudia Bergmann,Corporate,63,United States,Chapel Hill,North Carolina,27514,South,Senior Age
CC-12100,Chad Cunningham,Home Office,30,United States,Columbus,Indiana,47201,Central,Young
CC-12145,Charles Crestani,Consumer,21,United States,Los Angeles,California,90004,West,Young
CC-12220,Chris Cortes,Consumer,18,United States,La Porte,Indiana,46350,Central,Young
CC-12370,Christopher Conant,Consumer,38,United States,Fayetteville,North Carolina,28314,South,Midle Age
CC-12430,Chuck Clark,Home Office,66,United States,Columbus,Indiana,47201,Central,Senior Age
CC-12475,Cindy Chapman,Consumer,48,United States,New York City,New York,10024,East,Midle Age
CC-12550,Clay Cheatham,Consumer,42,United States,San Francisco,California,94122,West,Midle Age
CC-12610,Corey Catlett,Corporate,18,United States,Philadelphia,Pennsylvania,19134,East,Young
CC-12670,Craig Carreira,Consumer,22,United States,New York City,New York,10009,East,Young
CC-12685,Craig Carroll,Consumer,59,United States,Greensboro,North Carolina,27405,South,Midle Age
CD-11920,Carlos Daly,Consumer,51,United States,Lake Elsinore,California,92530,West,Midle Age
CD-11980,Carol Darley,Consumer,61,United States,Tyler,Texas,75701,Central,Senior Age
CD-12280,Christina DeMoss,Consumer,42,United States,Seattle,Washington,98105,West,Midle Age
CD-12790,Cynthia Delaney,Home Office,70,United States,San Diego,California,92037,West,Senior Age
CG-12040,Catherine Glotzbach,Home Office,27,United States,Philadelphia,Pennsylvania,19120,East,Young
CG-12520,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South,Senior Age
CH-12070,Cathy Hwang,Home Office,36,United States,Raleigh,North Carolina,27604,South,Midle Age
CJ-11875,Carl Jackson,Corporate,64,United States,Philadelphia,Pennsylvania,19140,East,Senior Age
CJ-12010,Caroline Jumper,Consumer,64,United States,Huntington Beach,California,92646,West,Senior Age
CK-12205,Chloris Kastensmidt,Consumer,61,United States,Philadelphia,Pennsylvania,19120,East,Senior Age
CK-12325,Christine Kargatis,Home Office,53,United States,Orem,Utah,84057,West,Midle Age
CK-12595,Clytie Kelty,Consumer,60,United States,Grove City,Ohio,43123,East,Midle Age
CK-12760,Cyma Kinney,Corporate,18,United States,Linden,New Jersey,7036,East,Young
CL-11890,Carl Ludwig,Consumer,63,United States,Everett,Massachusetts,2149,East,Senior Age
CL-12565,Clay Ludtke,Consumer,36,United States,Urbandale,Iowa,50322,Central,Midle Age
CL-12700,Craig Leslie,Home Office,36,United States,Springfield,Missouri,65807,Central,Midle Age
CM-11815,Candace McMahon,Corporate,28,United States,Pasadena,Texas,77506,Central,Young
CM-11935,Carlos Meador,Consumer,56,United States,Fayetteville,North Carolina,28314,South,Midle Age
CM-12115,Chad McGuire,Consumer,50,United States,New York City,New York,10011,East,Midle Age
CM-12160,Charles McCrossin,Consumer,58,United States,Brownsville,Texas,78521,Central,Midle Age
CM-12190,Charlotte Melton,Consumer,66,United States,Philadelphia,Pennsylvania,19134,East,Senior Age
CM-12235,Chris McAfee,Consumer,35,United States,Carrollton,Texas,75007,Central,Midle Age
CM-12385,Christopher Martinez,Consumer,19,United States,Atlanta,Georgia,30318,South,Young
CM-12445,Chuck Magee,Consumer,27,United States,San Francisco,California,94122,West,Young
CM-12655,Corinna Mitchell,Home Office,33,United States,Los Angeles,California,90008,West,Midle Age
CM-12715,Craig Molinari,Corporate,53,United States,Huntsville,Texas,77340,Central,Midle Age
Co-12640,Corey-Lock,Consumer,55,United States,Philadelphia,Pennsylvania,19143,East,Midle Age
CP-12085,Cathy Prescott,Corporate,62,United States,Norwich,Connecticut,6360,East,Senior Age
CP-12340,Christine Phan,Corporate,38,United States,New York City,New York,10009,East,Midle Age
CR-12580,Clay Rozendal,Home Office,52,United States,Elmhurst,Illinois,60126,Central,Midle Age
CR-12625,Corey Roper,Home Office,46,United States,Lakewood,New Jersey,8701,East,Midle Age
CR-12730,Craig Reiter,Consumer,25,United States,Columbus,Ohio,43229,East,Young
CR-12820,Cyra Reiten,Home Office,38,United States,New York City,New York,10035,East,Midle Age
CS-11845,Cari Sayre,Corporate,24,United States,Seattle,Washington,98105,West,Young
CS-11860,Cari Schnelling,Consumer,69,United States,Jacksonville,North Carolina,28540,South,Senior Age
CS-11950,Carlos Soltero,Consumer,18,United States,Chicago,Illinois,60610,Central,Young
CS-12130,Chad Sievert,Consumer,51,United States,Los Angeles,California,90004,West,Midle Age
CS-12175,Charles Sheldon,Corporate,67,United States,Columbia,Tennessee,38401,South,Senior Age
CS-12250,Chris Selesnick,Corporate,59,United States,Bossier City,Louisiana,71111,South,Midle Age
CS-12355,Christine Sundaresam,Consumer,63,United States,Roswell,Georgia,30076,South,Senior Age
CS-12400,Christopher Schild,Home Office,33,United States,Chicago,Illinois,60623,Central,Midle Age
CS-12460,Chuck Sachs,Consumer,44,United States,Columbus,Georgia,31907,South,Midle Age
CS-12490,Cindy Schnelling,Corporate,32,United States,Conroe,Texas,77301,Central,Midle Age
CS-12505,Cindy Stewart,Consumer,41,United States,Thomasville,North Carolina,27360,South,Midle Age
CT-11995,Carol Triggs,Consumer,57,United States,Rochester,Minnesota,55901,Central,Midle Age
CV-12295,Christina VanderZanden,Consumer,58,United States,Fresno,California,93727,West,Midle Age
CV-12805,Cynthia Voltz,Corporate,55,United States,New York City,New York,10035,East,Midle Age
CW-11905,Carl Weiss,Home Office,31,United States,Huntsville,Texas,77340,Central,Midle Age
CY-12745,Craig Yedwab,Corporate,36,United States,Oakland,California,94601,West,Midle Age
DA-13450,Dianna Arnett,Home Office,38,United States,Houston,Texas,77095,Central,Midle Age
DB-12910,Daniel Byrd,Home Office,38,United States,Tampa,Florida,33614,South,Midle Age
DB-12970,Darren Budd,Corporate,42,United States,Los Angeles,California,90004,West,Midle Age
DB-13060,Dave Brooks,Consumer,50,United States,Seattle,Washington,98115,West,Midle Age
DB-13120,David Bremer,Corporate,60,United States,Santa Clara,California,95051,West,Midle Age
